District,Teachers,2013-14,2017-18,2018-19
Santa Rita Union Elementary (Monterey),148,65317,72203,72168
Soledad Unified (Monterey),248,65288,70294,71993
King City Union Elementary (Monterey),158,58006,68983,69235
Monterey Peninsula Unified (Monterey),510,61189,67601,67488
Washington Union Elementary (Monterey),42,63793,65236,67321
Spreckels Union Elementary (Monterey),47,57477,64731,66059
Mission Union Elementary (Monterey),8,53544,59869,62869
Graves Elementary (Monterey),2,0,60707,62529
Chualar Union Elementary (Monterey),16,0,57812,56619
Lagunita Elementary (Monterey),5,50471,50567,52879
Big Sur Unified (Monterey),6,0,46308,46630
San Lucas Union Elementary (Monterey),4,44717,50522,44733
St. Helena Unified (Napa),94,102749,123191,127866
Calistoga Joint Unified (Napa),55,0,null,106954
Napa Valley Unified (Napa),863,71415,78177,81717
Howell Mountain Elementary (Napa),6,0,null,76383
Pleasant Ridge Un Elementary (Nevada),55,72056,75706,76299
Nevada Joint Union High (Nevada),152,66661,72949,74169
Union Hill Elementary (Nevada),36,70560,69603,72170
Grass Valley Elementary (Nevada),78,63286,71452,71949
Nevada City Elementary (Nevada),44,62264,66221,68110
Penn Valley Union Elementary (Nevada),27,null,64798,65388
Clear Creek Elementary (Nevada),9,58425,63544,64531
Nevada County Office of Ed. (Nevada),19,62281,63066,62638
Chicago Park Elementary (Nevada),10,54010,57818,58633
Laguna Beach Unified (Orange),151,94725,105547,106910
Los Alamitos Unified (Orange),415,86659,101506,103720
Garden Grove Unified (Orange),1902,84242,96657,100324
Fullerton Joint Union High (Orange),553,88636,99610,98049
Orange County Office of Ed. (Orange),249,89241,95963,97518
Anaheim Union High (Orange),1276,88375,93017,97259
Newport-Mesa Unified (Orange),1004,83555,94378,96260
Huntington Beach Union High (Orange),679,81891,93803,95427
Centralia Elementary (Orange),192,82274,91674,95166
Santa Ana Unified (Orange),2348,81556,94982,94411
Magnolia Elementary (Orange),303,82102,90857,93858
Huntington Beach City Elem. (Orange),290,80841,92511,93404
La Habra City Elementary (Orange),232,79315,91713,93160
Westminster Elementary (Orange),457,75389,90035,92836
Buena Park Elementary (Orange),243,83126,90728,92155
Ocean View Elementary (Orange),377,78256,89638,91766
Fullerton Elementary (Orange),557,79810,91359,91359
Anaheim Elementary (Orange),870,83022,90647,90925
Saddleback Valley Unified (Orange),1190,78959,84084,89371
Savanna Elementary (Orange),114,80599,88149,89292
Fountain Valley Elementary (Orange),277,73661,85451,88670
Capistrano Unified (Orange),2016,81876,89014,88025
Cypress Elementary (Orange),189,80136,85981,87898
Tustin Unified (Orange),986,76953,86495,87448
Orange Unified (Orange),1059,73765,83902,86774
Placentia-Yorba Linda Unified (Orange),1123,77275,85266,85428
Irvine Unified (Orange),1584,74022,81988,84323
Brea-Olinda Unified (Orange),250,71519,80973,83616
Roseville Joint Union High (Placer),444,74262,86527,89424
Roseville City Elementary (Placer),569,72519,82751,85382
Tahoe-Truckee Unified (Placer),281,74284,80358,85371
Dry Creek Joint Elementary (Placer),335,71201,81141,82550
Rocklin Unified (Placer),572,67442,75676,81298
Placer Union High (Placer),176,68018,76898,80760
Western Placer Unified (Placer),338,68795,78395,79810
Eureka Union Elementary (Placer),168,72225,78765,79781
Placer County Office of Ed. (Placer),59,67256,77626,79312
Loomis Union Elementary (Placer),115,63696,71955,74004
Auburn Union Elementary (Placer),103,59299,68019,70801
Newcastle Elementary (Placer),24,60584,71632,69985
Placer Hills Elementary (Placer),39,64318,65158,67479
Ackerman Elementary (Placer),29,58106,65143,65667
Foresthill Union Elementary (Placer),21,0,60706,63637
Plumas Unified (Plumas),120,59586,59006,57358
Corona-Norco Unified (Riverside),2485,82178,97905,101255
Alvord Unified (Riverside),766,79909,92673,97548
Perris Union High (Riverside),386,74802,93194,95428
Riverside Unified (Riverside),1855,79035,94861,95171
Coachella Valley Unified (Riverside),842,71530,92713,94540
Jurupa Unified (Riverside),973,77929,89656,91907
Lake Elsinore Unified (Riverside),1002,73217,88021,90411
Desert Sands Unified (Riverside),1278,75733,89889,89892
Nuview Union Elementary (Riverside),94,69395,82828,89265
Temecula Valley Unified (Riverside),1244,79039,87184,88890
Murrieta Valley Unified (Riverside),932,82681,87542,88700
Val Verde Unified (Riverside),890,71561,83822,88491
Palm Springs Unified (Riverside),1172,73970,87928,88407
Perris Elementary (Riverside),279,76530,85263,88062
Moreno Valley Unified (Riverside),1532,73232,84397,87184
Romoland Elementary (Riverside),179,77079,85027,86635
Hemet Unified (Riverside),1043,71130,82190,85496
Desert Center Unified (Riverside),2,53669,78204,83976
Menifee Union Elementary (Riverside),459,75811,82871,83069
San Jacinto Unified (Riverside),482,71702,81696,79783
Beaumont Unified (Riverside),457,69629,78487,79525
Palo Verde Unified (Riverside),134,64203,75325,78008
Banning Unified (Riverside),256,66779,74832,74527
Sacramento County Office of Ed. (Sacramento),125,72051,79319,82990
Elk Grove Unified (Sacramento),3202,71340,80261,81565
Galt Joint Union High (Sacramento),112,68246,80319,81559
Galt Joint Union Elementary (Sacramento),183,69975,75606,78761
Twin Rivers Unified (Sacramento),1305,71162,76166,78115
San Juan Unified (Sacramento),2071,71583,76673,78090
Folsom-Cordova Unified (Sacramento),976,70192,76858,77434
Center Joint Unified (Sacramento),219,71155,76717,76842
Sacramento City Unified (Sacramento),2315,65695,73236,75296
Arcohe Union Elementary (Sacramento),25,65793,65447,69077
Natomas Unified (Sacramento),543,66720,68850,68588
River Delta Joint Unified (Sacramento),111,51928,58396,58079
San Benito High (San Benito),130,67747,78378,80955
Hollister Elementary (San Benito),275,70820,75161,76492
